antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
REACT_OFF_LABEL_USE,SERIOUS_NO,0.13992,0.71979,0.10263,0.7334905660377359,1.0190341155583376,1.0,0.0019169831999999998,1.0514074336283186,0.021717264916058056,0.13556031066730068,0.04889392255000122,0.4380369097433292
REACT_OFF_LABEL_USE,nan,0.13992,0.35861,0.04735,0.3384076615208691,0.9436648769439477,1.0,-0.0028267111999999914,0.9694640682726586,-0.06490502627748786,0.1049470277937852,-0.03149774470935139,0.23522262555143314
REACT_OFF_LABEL_USE,AGE_41_65,0.13992,0.25194,0.03475,0.24835620354488283,0.9857751986380997,1.0,-0.0005014447999999935,0.9952320547684701,-0.016500743381910602,0.09730895242362299,-0.0047907874436772,0.19314293466916288
REACT_OFF_LABEL_USE,SERIOUS_YES,0.13992,0.28021,0.03729,0.2665094339622642,0.9511060774499988,1.0,-0.0019169831999999998,0.9813214147909968,-0.05639949793238864,0.0974036150872427,-0.019034115558337627,0.19979409815953397
REACT_OFF_LABEL_USE,AGE_65PLUS,0.13992,0.22617,0.03144,0.2246998284734134,0.9934997058558315,1.0,-0.00020570639999999835,0.9981037389380532,-0.007549794723908022,0.09394890183774093,-0.00189986369950325,0.18185515365838067
"REACT_OFF_LABEL_USE, SEX_OTHER",SERIOUS_NO,0.13992,0.71979,0.10263,0.7334905660377359,1.0190341155583376,1.0,0.0019169831999999998,1.0514074336283186,0.021717264916058056,0.13556031066730068,0.04889392255000122,0.4380369097433292
"REACT_OFF_LABEL_USE, SERIOUS_NO",SEX_OTHER,0.10263,1.0,0.10263,1.0,1.0,1.0,0.0,inf,0.0,0.10263,0.0,0.551315
REACT_OFF_LABEL_USE,"SEX_OTHER, SERIOUS_NO",0.13992,0.71979,0.10263,0.7334905660377359,1.0190341155583376,1.0,0.0019169831999999998,1.0514074336283186,0.021717264916058056,0.13556031066730068,0.04889392255000122,0.4380369097433292
"REACT_OFF_LABEL_USE, SEX_OTHER",nan,0.13992,0.35861,0.04735,0.3384076615208691,0.9436648769439477,1.0,-0.0028267111999999914,0.9694640682726586,-0.06490502627748786,0.1049470277937852,-0.03149774470935139,0.23522262555143314
"REACT_OFF_LABEL_USE, nan",SEX_OTHER,0.04735,1.0,0.04735,1.0,1.0,1.0,0.0,inf,0.0,0.04735,0.0,0.523675
REACT_OFF_LABEL_USE,"SEX_OTHER, nan",0.13992,0.35861,0.04735,0.3384076615208691,0.9436648769439477,1.0,-0.0028267111999999914,0.9694640682726586,-0.06490502627748786,0.1049470277937852,-0.03149774470935139,0.23522262555143314
"REACT_OFF_LABEL_USE, nan",SERIOUS_NO,0.04735,0.71979,0.03699,0.7812038014783527,1.0853218320320546,1.0,0.002907943499999996,1.2806895270270267,0.0825217180282822,0.050660823118537285,0.21917062730934883,0.4162968951125352
"REACT_OFF_LABEL_USE, SERIOUS_NO",nan,0.10263,0.35861,0.03699,0.3604209295527624,1.0050498579313527,1.0,0.00018585570000000107,1.0028314396709324,0.0055991229882265715,0.08718915733647614,0.0028234452560258316,0.23178459823612857
REACT_OFF_LABEL_USE,"nan, SERIOUS_NO",0.13992,0.27258,0.03699,0.2643653516295026,0.9698633488498885,1.0,-0.0011493935999999927,0.9888332497814047,-0.03486840855086114,0.09850603179675643,-0.01129285470635589,0.2000343157002895
"AGE_41_65, REACT_OFF_LABEL_USE",SEX_OTHER,0.03475,1.0,0.03475,1.0,1.0,1.0,0.0,inf,0.0,0.03475,0.0,0.517375
"REACT_OFF_LABEL_USE, SEX_OTHER",AGE_41_65,0.13992,0.25194,0.03475,0.24835620354488283,0.9857751986380997,1.0,-0.0005014447999999935,0.9952320547684701,-0.016500743381910602,0.09730895242362299,-0.0047907874436772,0.19314293466916288
